0,1,2,3,4,5,6,7,8
Fonoaudiologia - integral - Marília,35,1,1,2,0,4,4,
Medicina - integral - Botucatu,90,0,0,0,0,0,0,
Medicina Veterinária - integral - Araçatuba,60,1,1,2,2,2,4,
Medicina Veterinária - integral - Botucatu,60,2,0,0,2,0,2,
Medicina Veterinária - integral - Jaboticabal,50,2,0,1,0,3,3,
Nutrição - vespertino/noturno - Botucatu,30,0,1,1,0,2,2,
Odontologia - integral - Araçatuba,40,3,0,1,2,2,4,
Odontologia - integral - Araraquara,75,2,2,2,0,6,6,
Odontologia - integral - São José dos Campos,40,1,1,0,1,1,2,
Odontologia - vespertino/noturno - Araçatuba,40,3,0,0,2,1,3,
Odontologia - vespertino/noturno - São José dos Campos,40,1,1,0,0,2,2,
Terapia Ocupacional - integral - Marília,40,5,0,0,0,5,5,
Zootecnia - integral - Botucatu,60,9,0,3,2,10,12,
Zootecnia - integral - Dracena,40,8,0,6,4,10,14,
Zootecnia - integral - Ilha Solteira,40,0,1,1,1,1,2,
Zootecnia - integral - Jaboticabal,50,7,2,0,0,9,9,
TOTAL,2210,146,41,69,107,149,256,
